group,n,weight,value
00Uncorrelated,50,13408,18779
00Uncorrelated,100,22701,39985
00Uncorrelated,200,48722,75388
00Uncorrelated,500,131008,186247
00Uncorrelated,1000,243043,362833
01WeaklyCorrelated,50,11790,13075
01WeaklyCorrelated,100,25386,27371
01WeaklyCorrelated,200,48102,52781
01WeaklyCorrelated,500,123742,135704
01WeaklyCorrelated,1000,254757,270496
02StronglyCorrelated,50,11773,15173
02StronglyCorrelated,100,25385,31885
02StronglyCorrelated,200,48081,61581
02StronglyCorrelated,500,123725,156225
02StronglyCorrelated,1000,254703,317403
03InverseStronglyCorrelated,50,14266,12266
03InverseStronglyCorrelated,100,30340,26740
03InverseStronglyCorrelated,200,58003,50803
03InverseStronglyCorrelated,500,148509,131009
03InverseStronglyCorrelated,1000,304281,265981
04AlmostStronglyCorrelated,50,11786,15099
04AlmostStronglyCorrelated,100,25388,31884
04AlmostStronglyCorrelated,200,48104,61410
04AlmostStronglyCorrelated,500,123749,156598
04AlmostStronglyCorrelated,1000,254640,317442
05SubsetSum,50,11793,11793
05SubsetSum,100,25391,25391
05SubsetSum,200,48106,48106
05SubsetSum,500,123764,123764
05SubsetSum,1000,254777,254777
06UncorrelatedWithSimilarWeights,50,2401233,17328
06UncorrelatedWithSimilarWeights,100,4902451,36520
06UncorrelatedWithSimilarWeights,200,9904991,70577
06UncorrelatedWithSimilarWeights,500,24713223,170611
06UncorrelatedWithSimilarWeights,1000,49523802,335780
07SpannerUncorrelated,50,6578,11948
07SpannerUncorrelated,100,11914,22147
07SpannerUncorrelated,200,25415,42161
07SpannerUncorrelated,500,63181,115597
07SpannerUncorrelated,1000,120382,208984
08SpannerWeaklyCorrelated,50,6502,15236
08SpannerWeaklyCorrelated,100,11951,27478
08SpannerWeaklyCorrelated,200,23669,59862
08SpannerWeaklyCorrelated,500,64487,142976
08SpannerWeaklyCorrelated,1000,125004,258512
09SpannerStronglyCorrelated,50,6461,27261
09SpannerStronglyCorrelated,100,11980,48980
09SpannerStronglyCorrelated,200,23701,101501
09SpannerStronglyCorrelated,500,64560,258060
09SpannerStronglyCorrelated,1000,125409,483109
10MultipleStronglyCorrelated,50,11739,19139
10MultipleStronglyCorrelated,100,25383,39683
10MultipleStronglyCorrelated,200,48055,77255
10MultipleStronglyCorrelated,500,123663,196163
10MultipleStronglyCorrelated,1000,254706,393206
11ProfitCeiling,50,11792,11772
11ProfitCeiling,100,25391,25350
11ProfitCeiling,200,48106,48051
11ProfitCeiling,500,123763,123624
11ProfitCeiling,1000,254777,254487
12Circle,50,11793,248482
12Circle,100,25391,534999
12Circle,200,48106,1013616
12Circle,500,123764,2607766
12Circle,1000,254777,5368279
