group,n,weight,value
00Uncorrelated,50,13585,19836
00Uncorrelated,100,22689,41049
00Uncorrelated,200,48841,78918
00Uncorrelated,500,131008,202841
00Uncorrelated,1000,243069,418472
01WeaklyCorrelated,50,11791,13214
01WeaklyCorrelated,100,25389,27624
01WeaklyCorrelated,200,48102,53514
01WeaklyCorrelated,500,123764,138098
01WeaklyCorrelated,1000,254777,279824
02StronglyCorrelated,50,11793,15293
02StronglyCorrelated,100,25391,32291
02StronglyCorrelated,200,48106,62206
02StronglyCorrelated,500,123562,158862
02StronglyCorrelated,1000,254757,324557
03InverseStronglyCorrelated,50,14191,12691
03InverseStronglyCorrelated,100,30342,27042
03InverseStronglyCorrelated,200,58007,51707
03InverseStronglyCorrelated,500,148516,132916
03InverseStronglyCorrelated,1000,304057,272157
04AlmostStronglyCorrelated,50,11792,15308
04AlmostStronglyCorrelated,100,25391,32284
04AlmostStronglyCorrelated,200,48106,62209
04AlmostStronglyCorrelated,500,123669,159038
04AlmostStronglyCorrelated,1000,254777,324609
05SubsetSum,50,11793,11793
05SubsetSum,100,25391,25391
05SubsetSum,200,48106,48106
05SubsetSum,500,123764,123764
05SubsetSum,1000,254777,254777
06UncorrelatedWithSimilarWeights,50,2401186,17920
06UncorrelatedWithSimilarWeights,100,4902351,37000
06UncorrelatedWithSimilarWeights,200,9904984,72399
06UncorrelatedWithSimilarWeights,500,24712830,187312
06UncorrelatedWithSimilarWeights,1000,49523374,379545
07SpannerUncorrelated,50,6578,11948
07SpannerUncorrelated,100,11914,22147
07SpannerUncorrelated,200,25921,43417
07SpannerUncorrelated,500,63365,119279
07SpannerUncorrelated,1000,120497,232145
08SpannerWeaklyCorrelated,50,6437,15276
08SpannerWeaklyCorrelated,100,11951,27478
08SpannerWeaklyCorrelated,200,23770,60080
08SpannerWeaklyCorrelated,500,64611,145888
08SpannerWeaklyCorrelated,1000,125478,277084
09SpannerStronglyCorrelated,50,6461,27261
09SpannerStronglyCorrelated,100,12004,49204
09SpannerStronglyCorrelated,200,23700,104200
09SpannerStronglyCorrelated,500,64553,263953
09SpannerStronglyCorrelated,1000,125478,504878
10MultipleStronglyCorrelated,50,11790,19390
10MultipleStronglyCorrelated,100,25386,40686
10MultipleStronglyCorrelated,200,48102,79202
10MultipleStronglyCorrelated,500,123762,201662
10MultipleStronglyCorrelated,1000,254772,409472
11ProfitCeiling,50,11792,11784
11ProfitCeiling,100,25390,25377
11ProfitCeiling,200,48105,48087
11ProfitCeiling,500,123763,123714
11ProfitCeiling,1000,254777,254682
12Circle,50,11793,248488
12Circle,100,25391,535012
12Circle,200,48106,1013639
12Circle,500,123764,2607828
12Circle,1000,254777,5368399
